date,home_team,score,away_team
31-07-2022,Celtic,2 - 0,Aberdeen
06-08-2022,Aberdeen,4 - 1,St Mirren
13-08-2022,Aberdeen,2 - 3,Motherwell
20-08-2022,St Johnstone,0 - 1,Aberdeen
27-08-2022,Aberdeen,5 - 0,Livingston
03-09-2022,Ross County,1 - 1,Aberdeen
17-09-2022,Hibernian,3 - 1,Aberdeen
01-10-2022,Aberdeen,4 - 1,Kilmarnock
08-10-2022,Dundee United,4 - 0,Aberdeen
16-10-2022,Aberdeen,2 - 0,Hearts
22-10-2022,Motherwell,1 - 2,Aberdeen
29-10-2022,Rangers,4 - 1,Aberdeen
04-11-2022,Aberdeen,4 - 1,Hibernian
08-11-2022,Livingston,2 - 1,Aberdeen
12-11-2022,Aberdeen,1 - 0,Dundee United
17-12-2022,Aberdeen,0 - 1,Celtic
20-12-2022,Aberdeen,2 - 3,Rangers
24-12-2022,St Mirren,3 - 1,Aberdeen
28-12-2022,Kilmarnock,2 - 1,Aberdeen
02-01-2023,Aberdeen,0 - 0,Ross County
07-01-2023,Aberdeen,2 - 0,St Johnstone
18-01-2023,Hearts,5 - 0,Aberdeen
28-01-2023,Hibernian,6 - 0,Aberdeen
01-02-2023,Aberdeen,1 - 3,St Mirren
04-02-2023,Aberdeen,3 - 1,Motherwell
18-02-2023,Celtic,4 - 0,Aberdeen
25-02-2023,Aberdeen,1 - 0,Livingston
04-03-2023,Dundee United,1 - 3,Aberdeen
18-03-2023,Aberdeen,3 - 0,Hearts
01-04-2023,St Johnstone,0 - 1,Aberdeen
08-04-2023,Aberdeen,2 - 0,Kilmarnock
14-04-2023,Ross County,0 - 1,Aberdeen
23-04-2023,Aberdeen,2 - 0,Rangers
07-05-2023,Rangers,1 - 0,Aberdeen
13-05-2023,Aberdeen,0 - 0,Hibernian
20-05-2023,Hearts,2 - 1,Aberdeen
24-05-2023,Aberdeen,3 - 0,St Mirren
27-05-2023,Celtic,5 - 0,Aberdeen
19-05-2023,Partick,3 - 0,Ayr
26-05-2023,Ayr,0 - 5,Partick
31-07-2022,Celtic,2 - 0,Aberdeen
06-08-2022,Ross County,1 - 3,Celtic
14-08-2022,Kilmarnock,0 - 5,Celtic
21-08-2022,Celtic,2 - 0,Hearts
28-08-2022,Dundee United,0 - 9,Celtic
03-09-2022,Celtic,4 - 0,Rangers
18-09-2022,St Mirren,2 - 0,Celtic
01-10-2022,Celtic,2 - 1,Motherwell
